component,explained_variance,explained_variance_ratio
PC1,7.337468003886655,0.7337468003886661
PC2,1.3527175711299129,0.13527175711299141
PC3,0.5778000613707945,0.0577800061370795
PC4,0.42319397667612024,0.042319397667612065
PC5,0.14699856880132425,0.014699856880132438
PC6,0.08078759857633722,0.00807875985763373
PC7,0.033102956672927536,0.0033102956672927566
PC8,0.027607035911072744,0.0027607035911072766
PC9,0.016031102484440403,0.0016031102484440416
PC10,0.004293124490405358,0.0004293124490405362
