feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
spike_sync,0.36168696565254055,-0.07554042736542439,0.16115908234834223,0.10779380429611815,-0.1705898622162601,0.038244738133851944,-0.39973972200191427,-0.045292561084074055,-0.04718595950231445,0.7945131159060574
assembly_variety,0.22532386020272177,0.6418091674254354,-0.3059746927783475,-0.07774902434220952,-0.12010220474427898,0.023584272481996873,-0.09092197974275962,-0.6309038905569015,-0.09701870403715646,-0.08333555831021078
cv,-0.2328432155866917,0.4336895449963487,0.6294130061956691,0.512245603234656,-0.18477114735881692,0.15067144229807028,0.12948111662495235,0.03991185012331093,-0.14990108190581633,-0.03834338267399541
cv2,-0.3576476588251626,0.1060830868722209,-0.12300043530336485,-0.195919778218111,0.17398450319119502,-0.18579364628846445,0.5551406998216438,-0.06424845527738735,-0.3960422504914525,0.5228503161560781
fano_factor,-0.336833658834018,0.10827302010686937,0.07314528476591238,-0.4905226241062994,0.04940603237208761,0.7365302731900623,-0.26324058856217547,0.07485106497157085,-0.07546950870795076,0.05784139046627762
isi_distance,-0.3503259113624353,0.17254971774918984,-0.16752768234316895,0.23385212371431172,0.25091318989254746,0.04241355755672273,0.009783085321730552,-0.10161023914426637,0.7833274104555189,0.27562200648859425
largest_assembly,0.3398923857167529,0.08904215473044061,0.17542168739524636,0.1136328129748913,0.8913919027631115,0.12017325932765809,-0.029983212465395644,-0.02077911517429093,-0.14550033852718472,-0.0365681074405257
max_cluster,0.2737319461565449,0.5470838284802575,-0.18413637183925174,-0.15013583842701825,-0.054550080838913495,-0.07718042520263096,0.07036727620151734,0.7357421977029258,0.102258146535841,0.06054535429526266
mean_firing_rate,0.3344744895590073,-0.18521977447457413,-0.2910801659181778,0.31194348800261956,-0.1502247523514877,0.612055884308165,0.5210850573479927,-0.0003462658111231254,0.02624880410293402,0.04884065863716487
spike_contrast,0.3126811982138753,0.001534973674767376,0.5350654223871285,-0.5034821556332459,-0.08088558790400208,-0.03838450954537057,0.4002790180442656,-0.19108178712350307,0.3967713476110062,0.016122407341175204
